year,hiud_baseline_mean,hiud_baseline_lower,hiud_baseline_upper,hiud_hiud25_mean,hiud_hiud25_lower,hiud_hiud25_upper,hiud_hiud50_mean,hiud_hiud50_lower,hiud_hiud50_upper,hiud_hiud100_mean,hiud_hiud100_lower,hiud_hiud100_upper,pill_baseline_mean,pill_baseline_lower,pill_baseline_upper,pill_hiud25_mean,pill_hiud25_lower,pill_hiud25_upper,pill_hiud50_mean,pill_hiud50_lower,pill_hiud50_upper,pill_hiud100_mean,pill_hiud100_lower,pill_hiud100_upper,hmb_baseline_mean,hmb_baseline_lower,hmb_baseline_upper,hmb_hiud25_mean,hmb_hiud25_lower,hmb_hiud25_upper,hmb_hiud50_mean,hmb_hiud50_lower,hmb_hiud50_upper,hmb_hiud100_mean,hmb_hiud100_lower,hmb_hiud100_upper,poor_mh_baseline_mean,poor_mh_baseline_lower,poor_mh_baseline_upper,poor_mh_hiud25_mean,poor_mh_hiud25_lower,poor_mh_hiud25_upper,poor_mh_hiud50_mean,poor_mh_hiud50_lower,poor_mh_hiud50_upper,poor_mh_hiud100_mean,poor_mh_hiud100_lower,poor_mh_hiud100_upper,anemic_baseline_mean,anemic_baseline_lower,anemic_baseline_upper,anemic_hiud25_mean,anemic_hiud25_lower,anemic_hiud25_upper,anemic_hiud50_mean,anemic_hiud50_lower,anemic_hiud50_upper,anemic_hiud100_mean,anemic_hiud100_lower,anemic_hiud100_upper,n_anemia_baseline_mean,n_anemia_baseline_lower,n_anemia_baseline_upper,n_anemia_hiud25_mean,n_anemia_hiud25_lower,n_anemia_hiud25_upper,n_anemia_hiud50_mean,n_anemia_hiud50_lower,n_anemia_hiud50_upper,n_anemia_hiud100_mean,n_anemia_hiud100_lower,n_anemia_hiud100_upper,pain_baseline_mean,pain_baseline_lower,pain_baseline_upper,pain_hiud25_mean,pain_hiud25_lower,pain_hiud25_upper,pain_hiud50_mean,pain_hiud50_lower,pain_hiud50_upper,pain_hiud100_mean,pain_hiud100_lower,pain_hiud100_upper,n_disruptions_baseline_mean,n_disruptions_baseline_lower,n_disruptions_baseline_upper,n_disruptions_hiud25_mean,n_disruptions_hiud25_lower,n_disruptions_hiud25_upper,n_disruptions_hiud50_mean,n_disruptions_hiud50_lower,n_disruptions_hiud50_upper,n_disruptions_hiud100_mean,n_disruptions_hiud100_lower,n_disruptions_hiud100_upper
2020,0.36384140550807215,0.2527599715099715,0.47492283950617287,0.36384140550807215,0.2527599715099715,0.47492283950617287,0.36384140550807215,0.2527599715099715,0.47492283950617287,0.36384140550807215,0.2527599715099715,0.47492283950617287,1.331908831908832,0.7702991452991453,1.8935185185185186,1.331908831908832,0.7702991452991453,1.8935185185185186,1.331908831908832,0.7702991452991453,1.8935185185185186,1.331908831908832,0.7702991452991453,1.8935185185185186,25.953525641025642,25.276041666666664,26.631009615384617,25.953525641025642,25.276041666666664,26.631009615384617,25.953525641025642,25.276041666666664,26.631009615384617,25.953525641025642,25.276041666666664,26.631009615384617,42.00498575498576,40.80395299145299,43.20601851851852,42.00498575498576,40.80395299145299,43.20601851851852,42.00498575498576,40.80395299145299,43.20601851851852,42.00498575498576,40.80395299145299,43.20601851851852,20.316951566951566,18.60844017094017,22.025462962962962,20.316951566951566,18.60844017094017,22.025462962962962,20.316951566951566,18.60844017094017,22.025462962962962,20.316951566951566,18.60844017094017,22.025462962962962,77.5,66.575,88.425,77.5,66.575,88.425,77.5,66.575,88.425,77.5,66.575,88.425,16.05798907882241,14.642405626780628,17.473572530864196,16.05798907882241,14.642405626780628,17.473572530864196,16.05798907882241,14.642405626780628,17.473572530864196,16.05798907882241,14.642405626780628,17.473572530864196,5.5,3.125,7.875,5.5,3.125,7.875,5.5,3.125,7.875,5.5,3.125,7.875
2021,0.4813667314323724,0.2552118888830542,0.7075215739816906,0.4813667314323724,0.2552118888830542,0.7075215739816906,0.4813667314323724,0.2552118888830542,0.7075215739816906,0.4813667314323724,0.2552118888830542,0.7075215739816906,0.9679847362985525,0.7318524742249995,1.2041169983721054,0.9679847362985525,0.7318524742249995,1.2041169983721054,0.9679847362985525,0.7318524742249995,1.2041169983721054,0.9679847362985525,0.7318524742249995,1.2041169983721054,26.328134572633864,26.27991037826673,26.376358767001,26.328134572633864,26.27991037826673,26.376358767001,26.328134572633864,26.27991037826673,26.376358767001,26.328134572633864,26.27991037826673,26.376358767001,38.8559225612211,34.53403700397347,43.17780811846873,38.8559225612211,34.53403700397347,43.17780811846873,38.8559225612211,34.53403700397347,43.17780811846873,38.8559225612211,34.53403700397347,43.17780811846873,23.686744035428593,21.687934324073588,25.685553746783597,23.686744035428593,21.687934324073588,25.685553746783597,23.686744035428593,21.687934324073588,25.685553746783597,23.686744035428593,21.687934324073588,25.685553746783597,71.5,62.475,80.525,71.5,62.475,80.525,71.5,62.475,80.525,71.5,62.475,80.525,14.625671725393408,13.033441859650965,16.21790159113585,14.625671725393408,13.033441859650965,16.21790159113585,14.625671725393408,13.033441859650965,16.21790159113585,14.625671725393408,13.033441859650965,16.21790159113585,6.5,5.075,7.925,6.5,5.075,7.925,6.5,5.075,7.925,6.5,5.075,7.925
2022,0.7195088340673066,0.2693906751185987,1.1696269930160144,0.7195088340673066,0.2693906751185987,1.1696269930160144,0.7195088340673066,0.2693906751185987,1.1696269930160144,0.7195088340673066,0.2693906751185987,1.1696269930160144,2.1796367858420362,2.14955463165487,2.2097189400292025,2.1796367858420362,2.14955463165487,2.2097189400292025,2.1796367858420362,2.14955463165487,2.2097189400292025,2.1796367858420362,2.14955463165487,2.2097189400292025,25.43613259603713,24.62502858684243,26.247236605231834,25.43613259603713,24.62502858684243,26.247236605231834,25.43613259603713,24.62502858684243,26.247236605231834,25.43613259603713,24.62502858684243,26.247236605231834,40.977992529305176,37.19209771715739,44.76388734145297,40.977992529305176,37.19209771715739,44.76388734145297,40.977992529305176,37.19209771715739,44.76388734145297,40.977992529305176,37.19209771715739,44.76388734145297,20.70830865580269,20.30749180510517,21.10912550650021,20.70830865580269,20.30749180510517,21.10912550650021,20.70830865580269,20.30749180510517,21.10912550650021,20.70830865580269,20.30749180510517,21.10912550650021,69.5,67.125,71.875,69.5,67.125,71.875,69.5,67.125,71.875,69.5,67.125,71.875,16.198037916415004,14.581400667319521,17.814675165510486,16.198037916415004,14.581400667319521,17.814675165510486,16.198037916415004,14.581400667319521,17.814675165510486,16.198037916415004,14.581400667319521,17.814675165510486,2.5,2.025,2.975,2.5,2.025,2.975,2.5,2.025,2.975,2.5,2.025,2.975
2023,0.5881516857126613,0.2611149013588038,0.9151884700665188,0.5881516857126613,0.2611149013588038,0.9151884700665188,0.5881516857126613,0.2611149013588038,0.9151884700665188,0.5881516857126613,0.2611149013588038,0.9151884700665188,2.2684632440730006,2.106430155210643,2.4304963329353573,2.2684632440730006,2.106430155210643,2.4304963329353573,2.2684632440730006,2.106430155210643,2.4304963329353573,2.2684632440730006,2.106430155210643,2.4304963329353573,25.05884359542896,23.840354767184035,26.277332423673887,25.05884359542896,23.840354767184035,26.277332423673887,25.05884359542896,23.840354767184035,26.277332423673887,25.05884359542896,23.840354767184035,26.277332423673887,38.84871226334641,38.552191710728295,39.145232815964526,38.84871226334641,38.552191710728295,39.145232815964526,38.84871226334641,38.552191710728295,39.145232815964526,38.84871226334641,38.552191710728295,39.145232815964526,25.13218488828245,24.427340951731193,25.837028824833702,25.13218488828245,24.427340951731193,25.837028824833702,25.13218488828245,24.427340951731193,25.837028824833702,25.13218488828245,24.427340951731193,25.837028824833702,71.5,66.275,76.725,71.5,66.275,76.725,71.5,66.275,76.725,71.5,66.275,76.725,14.882028540565125,14.183125817272158,15.580931263858094,14.882028540565125,14.183125817272158,15.580931263858094,14.882028540565125,14.183125817272158,15.580931263858094,14.882028540565125,14.183125817272158,15.580931263858094,5.5,4.075,6.925,5.5,4.075,6.925,5.5,4.075,6.925,5.5,4.075,6.925
2024,0.8237144381722695,0.4990170472098184,1.1484118291347207,0.8237144381722695,0.4990170472098184,1.1484118291347207,0.8237144381722695,0.4990170472098184,1.1484118291347207,0.8237144381722695,0.4990170472098184,1.1484118291347207,1.177296598983346,0.7456118179009745,1.6089813800657173,1.177296598983346,0.7456118179009745,1.6089813800657173,1.177296598983346,0.7456118179009745,1.6089813800657173,1.177296598983346,0.7456118179009745,1.6089813800657173,22.879489987923723,22.181270536692224,23.57770943915522,22.879489987923723,22.181270536692224,23.57770943915522,22.879489987923723,22.181270536692224,23.57770943915522,22.879489987923723,22.181270536692224,23.57770943915522,40.0387564242986,39.544106495913724,40.53340635268346,40.0387564242986,39.544106495913724,40.53340635268346,40.0387564242986,39.544106495913724,40.53340635268346,40.0387564242986,39.544106495913724,40.53340635268346,20.734406156092906,20.723467295756453,20.745345016429354,20.734406156092906,20.723467295756453,20.745345016429354,20.734406156092906,20.723467295756453,20.745345016429354,20.734406156092906,20.723467295756453,20.745345016429354,69.0,59.5,78.5,69.0,59.5,78.5,69.0,59.5,78.5,69.0,59.5,78.5,16.335551998202604,15.467380009548688,17.203723986856513,16.335551998202604,15.467380009548688,17.203723986856513,16.335551998202604,15.467380009548688,17.203723986856513,16.335551998202604,15.467380009548688,17.203723986856513,4.0,3.05,4.95,4.0,3.05,4.95,4.0,3.05,4.95,4.0,3.05,4.95
2025,0.9380590339892666,0.5036337209302325,1.3724843470483006,0.9380590339892666,0.5036337209302325,1.3724843470483006,0.9380590339892666,0.5036337209302325,1.3724843470483006,0.9380590339892666,0.5036337209302325,1.3724843470483006,1.1901833631484793,0.7222998658318426,1.6580668604651163,1.1901833631484793,0.7222998658318426,1.6580668604651163,1.1901833631484793,0.7222998658318426,1.6580668604651163,1.1901833631484793,0.7222998658318426,1.6580668604651163,22.59671288014311,21.455417039355993,23.73800872093023,22.59671288014311,21.455417039355993,23.73800872093023,22.59671288014311,21.455417039355993,23.73800872093023,22.59671288014311,21.455417039355993,23.73800872093023,37.463103756708406,37.04142441860465,37.884783094812164,37.463103756708406,37.04142441860465,37.884783094812164,37.463103756708406,37.04142441860465,37.884783094812164,37.463103756708406,37.04142441860465,37.884783094812164,23.282647584973166,23.087209302325583,23.478085867620752,23.282647584973166,23.087209302325583,23.478085867620752,23.282647584973166,23.087209302325583,23.478085867620752,23.282647584973166,23.087209302325583,23.478085867620752,80.5,65.775,95.225,80.5,65.775,95.225,80.5,65.775,95.225,80.5,65.775,95.225,13.591234347048301,13.468023255813952,13.714445438282649,13.591234347048301,13.468023255813952,13.714445438282649,13.591234347048301,13.468023255813952,13.714445438282649,13.591234347048301,13.468023255813952,13.714445438282649,3.0,2.05,3.95,3.0,2.05,3.95,3.0,2.05,3.95,3.0,2.05,3.95
2026,1.1628927505704756,0.5083816043531684,1.817403896787783,1.1628927505704756,0.5083816043531684,1.817403896787783,1.1628927505704756,0.5083816043531684,1.817403896787783,1.1628927505704756,0.5083816043531684,1.817403896787783,1.1766061084781465,0.7185525276461294,1.6346596893101633,1.1766061084781465,0.7185525276461294,1.6346596893101633,1.1766061084781465,0.7185525276461294,1.6346596893101633,1.1766061084781465,0.7185525276461294,1.6346596893101633,22.61223012111638,21.582000394944707,23.64245984728805,22.61223012111638,21.582000394944707,23.64245984728805,22.61223012111638,21.582000394944707,23.64245984728805,22.61223012111638,21.582000394944707,23.64245984728805,38.98872213445673,38.64374890293137,39.333695365982095,38.98872213445673,38.64374890293137,39.333695365982095,38.98872213445673,38.64374890293137,39.333695365982095,38.98872213445673,38.64374890293137,39.333695365982095,23.06696506933474,22.989841144461995,23.14408899420748,23.06696506933474,22.989841144461995,23.14408899420748,23.06696506933474,22.989841144461995,23.14408899420748,23.06696506933474,22.989841144461995,23.14408899420748,69.5,64.275,74.725,69.5,64.275,74.725,69.5,64.275,74.725,69.5,64.275,74.725,15.345796032999825,14.841363875724065,15.850228190275583,15.345796032999825,14.841363875724065,15.850228190275583,15.345796032999825,14.841363875724065,15.850228190275583,15.345796032999825,14.841363875724065,15.850228190275583,4.5,4.025,4.975,4.5,4.025,4.975,4.5,4.025,4.975,4.5,4.025,4.975
2027,0.8178019682225521,0.4900626752432789,1.1455412612018252,2.9300131636682756,2.5767332163229484,3.2832931110136023,6.79519526107942,6.304876042123738,7.285514480035103,28.54309165526676,27.717852257181942,29.368331053351575,1.1724118973005662,1.1632717576557259,1.1815520369454067,1.2872970601140852,1.1846478718736289,1.3899462483545415,1.7540587977182978,1.4320425625274242,2.076075032909171,1.637482900136799,1.6283857729138165,1.6465800273597813,21.10918687118588,20.276389576117435,21.94198416625433,20.495283018867926,20.024764150943398,20.965801886792455,18.73957876261518,18.169537077665645,19.309620447564726,13.214774281805747,12.954856361149112,13.474692202462382,39.98598053768762,38.894647864093685,41.07731321128154,39.82119350592365,38.665478279947344,40.97690873189996,39.35443176831944,37.97934949539271,40.72951404124616,37.43228454172367,36.55766073871409,38.306908344733245,22.075979987904777,17.89449667381384,26.25746330199571,21.810552874067575,17.660295085563842,25.960810662571305,21.695919262834575,17.21270293988591,26.179135585783236,20.3734610123119,16.704719562243504,24.0422024623803,80.5,76.225,84.775,80.5,76.225,84.775,80.0,75.25,84.75,71.5,68.175,74.825,15.121227115289459,14.904997525977237,15.337456704601685,14.985739359368145,14.64079640193067,15.33068231680562,14.751535761298815,14.40502961825362,15.09804190434401,13.45280437756498,13.044733242134063,13.860875512995896,4.0,3.05,4.95,4.0,3.05,4.95,4.0,3.05,4.95,3.0,2.05,3.95
2028,0.34776055124892336,0.2383182601205857,0.45720284237726094,2.202296554094698,1.6494666795565869,2.755126428632809,5.319586857271162,4.862753536411945,5.77642017813038,22.722701149425287,22.538433908045977,22.906968390804597,1.624138673557278,1.6205587855297157,1.6277185615848406,1.969472372604623,1.641397052504941,2.2975476927043053,1.8521389545265003,1.1870769938092744,2.5172009152437265,1.7305236270753512,1.6152618135376755,1.8457854406130267,21.81201550387597,20.882267441860467,22.741763565891475,21.321807596459568,20.637849639082237,22.005765553836902,19.886236060175136,19.381408577202304,20.391063543147965,15.916347381864624,15.749521072796934,16.083173690932313,39.68238587424634,36.729489664082685,42.635282084409994,39.63274469364957,36.727007605052854,42.53848178224628,38.85642648646915,35.4336047344617,42.27924823847659,36.922094508301406,33.294380587484035,40.54980842911877,23.083010335917315,21.921592377260982,24.244428294573645,23.289131649050443,21.88371412305577,24.694549175045115,23.11605204914089,21.654642509649623,24.577461588632158,22.25574712643678,20.904454022988507,23.607040229885058,78.0,74.2,81.8,79.0,75.2,82.8,79.0,75.2,82.8,72.0,70.1,73.9,16.357127476313522,16.282972652885444,16.431282299741603,15.99048294233909,15.787923219042707,16.193042665635474,15.25949725747645,15.090121034567558,15.428873480385343,13.834610472541506,12.126915708812259,15.542305236270753,5.0,4.05,5.95,5.0,4.05,5.95,5.0,4.05,5.95,4.0,4.0,4.0
2029,0.9174360188326889,0.9154370183329388,0.919435019332439,2.0626528840842733,1.4134774717904206,2.711828296378126,4.805491990846682,4.37070938215103,5.240274599542333,18.72051625547974,18.327330160600074,19.11370235035941,1.0318524948052288,0.925155843131066,1.1385491464793918,0.9169099660695966,0.7010179120965833,1.1328020200426103,1.6018306636155606,1.3844393592677344,1.8192219679633865,0.912725509922176,0.697810188539587,1.1276408313047648,22.588442620794865,21.22137615402825,23.955509087561484,22.245193192877245,21.204213682632368,23.286172703122123,20.938215102974826,20.829519450800916,21.04691075514874,17.807269485985938,17.412102604734077,18.202436367237794,40.47791893526921,38.93194192377496,42.02389594676346,40.248559930561036,38.70208316894184,41.795036692180226,39.702517162471395,38.28947368421052,41.11556064073227,38.23777776619423,36.477106279614055,39.99844925277441,23.051369052315945,22.674307583050577,23.428430521581316,22.822536100370865,22.228083326757677,23.41698887398406,22.54004576659039,21.996567505720822,23.083524027459955,21.692738332907638,20.34431801003946,23.041158655775817,81.5,77.225,85.775,79.5,77.125,81.875,79.5,75.225,83.775,75.5,72.175,78.825,13.648701964807069,12.856348141718616,14.441055787895527,13.303874378600172,12.83910676240827,13.768641994792077,12.929061784897025,12.38558352402746,13.47254004576659,11.532086132931617,10.531046220086218,12.533126045777015,3.5,2.075,4.925,3.5,2.075,4.925,3.5,2.075,4.925,3.5,3.025,3.975
