scenario,outcome,stat,year,value
baseline,hiud,mean,2000,0.0
baseline,hiud,mean,2001,0.0
baseline,hiud,mean,2002,0.001953125
baseline,hiud,mean,2003,0.0018656716417910447
baseline,hiud,mean,2004,0.001838235294117647
baseline,hiud,mean,2005,0.0017667844522968198
baseline,hiud,mean,2006,0.0016891891891891893
baseline,hiud,mean,2007,0.001644736842105263
baseline,hiud,mean,2008,0.0032103473152633203
baseline,hiud,mean,2009,0.0031201931501781575
baseline,hiud,mean,2010,0.004495540316435839
baseline,hiud,mean,2011,0.004315278508826896
baseline,hiud,mean,2012,0.005627225959635932
baseline,hiud,mean,2013,0.008250725338491294
baseline,hiud,mean,2014,0.008111900377093747
baseline,hiud,mean,2015,0.005416215908443888
baseline,hiud,mean,2016,0.005245716800044001
baseline,hiud,mean,2017,0.006370364553681855
baseline,hiud,mean,2018,0.003735774835519081
baseline,hiud,mean,2019,0.006118743569569691
baseline,hiud,mean,2020,0.0036384140550807216
baseline,hiud,mean,2021,0.004813667314323724
baseline,hiud,mean,2022,0.007195088340673066
baseline,hiud,mean,2023,0.0058815168571266134
baseline,hiud,mean,2024,0.008237144381722695
baseline,hiud,mean,2025,0.009380590339892666
baseline,hiud,mean,2026,0.011628927505704757
baseline,hiud,mean,2027,0.00817801968222552
baseline,hiud,mean,2028,0.0034776055124892333
baseline,hiud,mean,2029,0.009174360188326888
baseline,hiud,mean,2030,0.005650919033875133
baseline,hiud,mean,2031,0.007899113082039912
baseline,hiud,mean,2032,0.007835072231139648
baseline,hiud,lower,2000,0.0
baseline,hiud,lower,2001,0.0
baseline,hiud,lower,2002,9.765625e-05
baseline,hiud,lower,2003,9.328358208955224e-05
baseline,hiud,lower,2004,9.191176470588235e-05
baseline,hiud,lower,2005,8.8339222614841e-05
baseline,hiud,lower,2006,8.445945945945946e-05
baseline,hiud,lower,2007,8.223684210526316e-05
baseline,hiud,lower,2008,0.003195661135731217
baseline,hiud,lower,2009,0.003106320216515119
baseline,hiud,lower,2010,0.00306059791134418
baseline,hiud,lower,2011,0.003001687679107034
baseline,hiud,lower,2012,0.005544519192718639
baseline,hiud,lower,2013,0.007992323500967118
baseline,hiud,lower,2014,0.007945277558537227
baseline,hiud,lower,2015,0.0027319506917952516
baseline,hiud,lower,2016,0.005121620878365372
baseline,hiud,lower,2017,0.005279353736822474
baseline,hiud,lower,2018,0.00261645626095754
baseline,hiud,lower,2019,0.0026632572777340676
baseline,hiud,lower,2020,0.002527599715099715
baseline,hiud,lower,2021,0.0025521188888305416
baseline,hiud,lower,2022,0.0026939067511859874
baseline,hiud,lower,2023,0.002611149013588038
baseline,hiud,lower,2024,0.004990170472098184
baseline,hiud,lower,2025,0.005036337209302326
baseline,hiud,lower,2026,0.005083816043531684
baseline,hiud,lower,2027,0.004900626752432789
baseline,hiud,lower,2028,0.002383182601205857
baseline,hiud,lower,2029,0.009154370183329388
baseline,hiud,lower,2030,0.004467567978125475
baseline,hiud,lower,2031,0.004607815964523282
baseline,hiud,lower,2032,0.006796247993579454
baseline,hiud,upper,2000,0.0
baseline,hiud,upper,2001,0.0
baseline,hiud,upper,2002,0.00380859375
baseline,hiud,upper,2003,0.003638059701492537
baseline,hiud,upper,2004,0.0035845588235294116
baseline,hiud,upper,2005,0.0034452296819787983
baseline,hiud,upper,2006,0.003293918918918919
baseline,hiud,upper,2007,0.0032072368421052627
baseline,hiud,upper,2008,0.0032250334947954242
baseline,hiud,upper,2009,0.003134066083841196
baseline,hiud,upper,2010,0.005930482721527497
baseline,hiud,upper,2011,0.005628869338546758
baseline,hiud,upper,2012,0.005709932726553225
baseline,hiud,upper,2013,0.008509127176015473
baseline,hiud,upper,2014,0.008278523195650266
baseline,hiud,upper,2015,0.008100481125092525
baseline,hiud,upper,2016,0.00536981272172263
baseline,hiud,upper,2017,0.007461375370541235
baseline,hiud,upper,2018,0.004855093410080622
baseline,hiud,upper,2019,0.009574229861405313
baseline,hiud,upper,2020,0.004749228395061728
baseline,hiud,upper,2021,0.007075215739816906
baseline,hiud,upper,2022,0.011696269930160144
baseline,hiud,upper,2023,0.009151884700665188
baseline,hiud,upper,2024,0.011484118291347208
baseline,hiud,upper,2025,0.013724843470483005
baseline,hiud,upper,2026,0.01817403896787783
baseline,hiud,upper,2027,0.011455412612018252
baseline,hiud,upper,2028,0.00457202842377261
baseline,hiud,upper,2029,0.00919435019332439
baseline,hiud,upper,2030,0.006834270089624791
baseline,hiud,upper,2031,0.011190410199556541
baseline,hiud,upper,2032,0.008873896468699839
baseline,pill,mean,2000,0.0
baseline,pill,mean,2001,0.006072874493927126
baseline,pill,mean,2002,0.013960040983606557
baseline,pill,mean,2003,0.013154814164471758
baseline,pill,mean,2004,0.003676470588235294
baseline,pill,mean,2005,0.009130583829966774
baseline,pill,mean,2006,0.015590679018240856
baseline,pill,mean,2007,0.00497297536771221
baseline,pill,mean,2008,0.004807791404720189
baseline,pill,mean,2009,0.007836990595611285
baseline,pill,mean,2010,0.007480614943301511
baseline,pill,mean,2011,0.008672331252976416
baseline,pill,mean,2012,0.007055797388207361
baseline,pill,mean,2013,0.005500483558994197
baseline,pill,mean,2014,0.006789149054342424
baseline,pill,mean,2015,0.00922393668507658
baseline,pill,mean,2016,0.018360008800154003
baseline,pill,mean,2017,0.010286813639843734
baseline,pill,mean,2018,0.008750322049554785
baseline,pill,mean,2019,0.008600133147733462
baseline,pill,mean,2020,0.01331908831908832
baseline,pill,mean,2021,0.009679847362985525
baseline,pill,mean,2022,0.021796367858420363
baseline,pill,mean,2023,0.022684632440730004
baseline,pill,mean,2024,0.01177296598983346
baseline,pill,mean,2025,0.011901833631484794
baseline,pill,mean,2026,0.011766061084781464
baseline,pill,mean,2027,0.011724118973005663
baseline,pill,mean,2028,0.01624138673557278
baseline,pill,mean,2029,0.010318524948052289
baseline,pill,mean,2030,0.010104309078940707
baseline,pill,mean,2031,0.014578713968957872
baseline,pill,mean,2032,0.013453049759229535
baseline,pill,lower,2000,0.0
baseline,pill,lower,2001,0.0003036437246963563
baseline,pill,lower,2002,0.012378329918032787
baseline,pill,lower,2003,0.004383230904302019
baseline,pill,lower,2004,0.0001838235294117647
baseline,pill,lower,2005,0.0071703101102262535
baseline,pill,lower,2006,0.013617371788749881
baseline,pill,lower,2007,0.003447301967038809
baseline,pill,lower,2008,0.0033049056992682678
baseline,pill,lower,2009,0.00039184952978056425
baseline,pill,lower,2010,0.006079736452870781
baseline,pill,lower,2011,0.008553274682306941
baseline,pill,lower,2012,0.00561594776414721
baseline,pill,lower,2013,0.005328215667311412
baseline,pill,lower,2014,0.005365912479172148
baseline,pill,lower,2015,0.005680977054034049
baseline,pill,lower,2016,0.017925673074278798
baseline,pill,lower,2017,0.007657197824849329
baseline,pill,lower,2018,0.007726518660022497
baseline,pill,lower,2019,0.007501966955153422
baseline,pill,lower,2020,0.0077029914529914536
baseline,pill,lower,2021,0.007318524742249996
baseline,pill,lower,2022,0.0214955463165487
baseline,pill,lower,2023,0.02106430155210643
baseline,pill,lower,2024,0.007456118179009746
baseline,pill,lower,2025,0.007222998658318425
baseline,pill,lower,2026,0.007185525276461295
baseline,pill,lower,2027,0.01163271757655726
baseline,pill,lower,2028,0.016205587855297156
baseline,pill,lower,2029,0.00925155843131066
baseline,pill,lower,2030,0.009240847637855081
baseline,pill,lower,2031,0.013683481152993348
baseline,pill,lower,2032,0.009154795345104334
baseline,pill,upper,2000,0.0
baseline,pill,upper,2001,0.011842105263157895
baseline,pill,upper,2002,0.015541752049180327
baseline,pill,upper,2003,0.021926397424641496
baseline,pill,upper,2004,0.007169117647058823
baseline,pill,upper,2005,0.011090857549707293
baseline,pill,upper,2006,0.017563986247731832
baseline,pill,upper,2007,0.0064986487683856104
baseline,pill,upper,2008,0.006310677110172112
baseline,pill,upper,2009,0.015282131661442004
baseline,pill,upper,2010,0.00888149343373224
baseline,pill,upper,2011,0.008791387823645889
baseline,pill,upper,2012,0.008495647012267512
baseline,pill,upper,2013,0.005672751450676983
baseline,pill,upper,2014,0.008212385629512702
baseline,pill,upper,2015,0.012766896316119113
baseline,pill,upper,2016,0.018794344526029207
baseline,pill,upper,2017,0.01291642945483814
baseline,pill,upper,2018,0.009774125439087076
baseline,pill,upper,2019,0.009698299340313502
baseline,pill,upper,2020,0.018935185185185187
baseline,pill,upper,2021,0.012041169983721053
baseline,pill,upper,2022,0.022097189400292025
baseline,pill,upper,2023,0.024304963329353575
baseline,pill,upper,2024,0.016089813800657174
baseline,pill,upper,2025,0.016580668604651162
baseline,pill,upper,2026,0.016346596893101632
baseline,pill,upper,2027,0.011815520369454066
baseline,pill,upper,2028,0.016277185615848407
baseline,pill,upper,2029,0.011385491464793918
baseline,pill,upper,2030,0.010967770520026331
baseline,pill,upper,2031,0.015473946784922395
baseline,pill,upper,2032,0.017751304173354736
baseline,hmb,mean,2000,0.4677469135802469
baseline,hmb,mean,2001,0.44005940134067834
baseline,hmb,mean,2002,0.4144787397540983
baseline,hmb,mean,2003,0.3812554872695347
baseline,hmb,mean,2004,0.34681603773584907
baseline,hmb,mean,2005,0.3347792837930489
baseline,hmb,mean,2006,0.31488157769076497
baseline,hmb,mean,2007,0.3147705121389332
baseline,hmb,mean,2008,0.29541378954962383
baseline,hmb,mean,2009,0.2871015790805896
baseline,hmb,mean,2010,0.27997400385460086
baseline,hmb,mean,2011,0.270517415678706
baseline,hmb,mean,2012,0.2730510486743174
baseline,hmb,mean,2013,0.27493351063829785
baseline,hmb,mean,2014,0.27736122073138647
baseline,hmb,mean,2015,0.28177133747081934
baseline,hmb,mean,2016,0.28077647608833156
baseline,hmb,mean,2017,0.26755858314192793
baseline,hmb,mean,2018,0.27216486423647546
baseline,hmb,mean,2019,0.25834291593536285
baseline,hmb,mean,2020,0.25953525641025643
baseline,hmb,mean,2021,0.26328134572633866
baseline,hmb,mean,2022,0.2543613259603713
baseline,hmb,mean,2023,0.2505884359542896
baseline,hmb,mean,2024,0.22879489987923723
baseline,hmb,mean,2025,0.2259671288014311
baseline,hmb,mean,2026,0.22612230121116378
baseline,hmb,mean,2027,0.2110918687118588
baseline,hmb,mean,2028,0.2181201550387597
baseline,hmb,mean,2029,0.22588442620794866
baseline,hmb,mean,2030,0.21238290546356778
baseline,hmb,mean,2031,0.21646341463414637
baseline,hmb,mean,2032,0.22401936195826644
baseline,hmb,lower,2000,0.44297067901234566
baseline,hmb,lower,2001,0.4181568162208801
baseline,hmb,lower,2002,0.3955286244877049
baseline,hmb,lower,2003,0.35227172958735736
baseline,hmb,lower,2004,0.31421580188679243
baseline,hmb,lower,2005,0.3054315436949528
baseline,hmb,lower,2006,0.2917575923980517
baseline,hmb,lower,2007,0.2907385256069467
baseline,hmb,lower,2008,0.28186334123466966
baseline,hmb,lower,2009,0.2769327187055823
baseline,hmb,lower,2010,0.269222580789745
baseline,hmb,lower,2011,0.2517025089605735
baseline,hmb,lower,2012,0.26102097348634745
baseline,hmb,lower,2013,0.26893284574468085
baseline,hmb,lower,2014,0.26267758484609316
baseline,hmb,lower,2015,0.2675859761999658
baseline,hmb,lower,2016,0.2691539133184831
baseline,hmb,lower,2017,0.25385411963328686
baseline,hmb,lower,2018,0.2610283906319712
baseline,hmb,lower,2019,0.2538927555528657
baseline,hmb,lower,2020,0.25276041666666665
baseline,hmb,lower,2021,0.2627991037826673
baseline,hmb,lower,2022,0.2462502858684243
baseline,hmb,lower,2023,0.23840354767184035
baseline,hmb,lower,2024,0.22181270536692224
baseline,hmb,lower,2025,0.21455417039355992
baseline,hmb,lower,2026,0.2158200039494471
baseline,hmb,lower,2027,0.20276389576117435
baseline,hmb,lower,2028,0.20882267441860466
baseline,hmb,lower,2029,0.2122137615402825
baseline,hmb,lower,2030,0.2028030533191554
baseline,hmb,lower,2031,0.20514135254988916
baseline,hmb,lower,2032,0.20841078952648476
baseline,hmb,upper,2000,0.4925231481481481
baseline,hmb,upper,2001,0.46196198646047654
baseline,hmb,upper,2002,0.4334288550204918
baseline,hmb,upper,2003,0.410239244951712
baseline,hmb,upper,2004,0.3794162735849057
baseline,hmb,upper,2005,0.364127023891145
baseline,hmb,upper,2006,0.3380055629834782
baseline,hmb,upper,2007,0.3388024986709197
baseline,hmb,upper,2008,0.308964237864578
baseline,hmb,upper,2009,0.2972704394555969
